timestamp,X,Y,Lux
1631821650.991702,1549,2441,2604
1631821651.05567,1548,2442,2604
1631821651.12634,1548,2443,2604
1631821651.2054,1548,2443,2604
1631821651.281272,1548,2443,3274
1631821651.34265,1547,2444,3274
1631821651.408412,1547,2444,3274
1631821651.478762,1546,2444,3274
1631821651.555321,1546,2445,3274
1631821651.617284,1546,2445,3274
1631821651.682391,1545,2446,3274
1631821651.747352,1545,2446,3434
1631821651.814652,1546,2446,3434
1631821651.886719,1545,2446,3434
1631821651.956047,1546,2446,3434
1631821652.021364,1544,2447,3434
1631821652.084823,1543,2448,3434
1631821652.158712,1541,2450,3434
1631821652.230031,1540,2450,3744
1631821652.307914,1538,2452,3744
1631821652.385686,1536,2453,3744
1631821652.447556,1535,2455,3744
1631821652.513598,1533,2456,3744
1631821652.579692,1532,2457,3744
1631821652.650418,1531,2458,3744
1631821652.726874,1530,2459,4244
1631821652.80568,1529,2460,4244
1631821652.888158,1528,2461,4244
1631821652.97016,1527,2461,4244
1631821653.040772,1525,2462,4244
1631821653.106714,1524,2463,4244
1631821653.170489,1523,2464,4244
1631821653.235587,1522,2464,4284
1631821653.295926,1521,2465,4284
1631821653.363906,1521,2466,4284
1631821653.441959,1520,2466,4284
1631821653.506037,1520,2467,4284
1631821653.572636,1519,2468,4284
1631821653.666701,1518,2468,4284
1631821653.75484,1515,2471,4094
1631821653.825514,1514,2472,4094
1631821653.886557,1514,2473,4094
1631821653.956892,1513,2473,4094
1631821654.019893,1513,2474,4094
1631821654.101676,1513,2474,4094
1631821654.174744,1512,2475,4094
1631821654.244474,1512,2475,4294
1631821654.321101,1512,2476,4294
1631821654.399704,1511,2477,4294
1631821654.4661,1511,2478,4294
1631821654.536594,1511,2479,4294
1631821654.626793,1510,2480,4294
1631821654.689619,1510,2480,4294
1631821654.768651,1386,2697,4474
1631821654.832604,1386,2698,4474
1631821654.898754,1386,2698,4474
1631821654.985938,1386,2699,4474
1631821655.162973,1345,2761,4474
1631821655.230379,1346,2757,4954
1631821655.296507,1346,2756,4954
1631821655.361764,1346,2755,4954
1631821655.425797,1345,2755,4954
1631821655.486974,1345,2755,4954
1631821655.552465,1345,2756,4954
1631821655.618646,1344,2756,4954
1631821655.699519,1343,2756,4954
1631821655.775541,1343,2757,5024
1631821655.841862,1342,2757,5024
1631821655.904704,1342,2758,5024
1631821656.194665,1312,2853,5024
1631821656.254018,1319,2855,5154
1631821656.321194,1321,2855,5154
1631821656.384681,1322,2856,5154
1631821656.481932,1327,2875,5154
1631821656.548244,1331,2874,5154
1631821656.638471,1333,2873,5154
1631821656.717558,1334,2874,5224
1631821656.865738,1324,2900,5224
1631821656.926895,1317,2902,5224
1631821657.027492,1269,3177,5224
1631821657.088596,1270,3178,5224
1631821657.150057,1271,3178,5224
1631821657.217971,1272,3178,5434
1631821657.2967,1273,3178,5434
1631821657.361476,1273,3178,5434
1631821657.426674,1273,3178,5434
1631821657.489796,1273,3179,5434
1631821657.55558,1273,3179,5434
1631821657.635756,1273,3180,5434
1631821657.714638,1273,3180,5434
1631821657.794844,1272,3181,5724
1631821657.882156,1272,3181,5724
1631821657.955373,1271,3182,5724
1631821658.030969,1271,3182,5724
1631821658.095338,1270,3182,5724
1631821658.159173,1270,3183,5724
1631821658.225579,1270,3184,5914
1631821658.290668,1269,3184,5914
1631821658.358963,1269,3185,5914
1631821658.433562,1268,3185,5914
1631821658.512706,1268,3186,5914
1631821658.592977,1267,3187,5914
1631821658.673715,1267,3188,5914
1631821658.753685,1266,3189,6114
1631821658.835854,1266,3190,6114
1631821658.913469,1265,3191,6114
1631821658.994886,1265,3192,6114
1631821659.074889,1264,3192,6114
1631821659.154411,1264,3193,6114
1631821659.232839,1263,3193,6034
1631821659.316502,1263,3194,6034
1631821659.396631,1263,3195,6034
1631821659.47019,1263,3195,6034
1631821659.540597,1263,3196,6034
1631821659.621507,1264,3196,6034
1631821659.69978,1263,3198,6034
1631821659.775735,1263,3198,6364
1631821659.842798,1263,3198,6364
1631821659.920672,1263,3199,6364
1631821659.983549,1262,3199,6364
1631821660.048492,1262,3199,6364
1631821660.113896,1262,3200,6364
1631821660.189619,1262,3200,6364
1631821660.255676,1262,3201,6464
1631821660.320145,1261,3201,6464
1631821660.38363,1261,3201,6464
1631821660.446732,1261,3202,6464
1631821660.511444,1261,3202,6464
1631821660.575405,1260,3203,6464
1631821660.642465,1260,3203,6464
1631821660.706584,1260,3203,6464
1631821660.76812,1260,3204,6534
1631821660.831626,1259,3204,6534
1631821660.895665,1259,3205,6534
1631821660.961993,1259,3205,6534
1631821661.021731,1258,3206,6534
1631821661.087473,1258,3206,6534
1631821661.170721,1258,3206,6534
1631821661.267217,1258,3207,6644
1631821661.34155,1258,3207,6644
1631821661.407667,1258,3207,6644
1631821661.474724,1258,3208,6644
